# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 37
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: 2
# Data supplier: OAIL
# Location name: ITERA
# Position (lat, lon, elev(m)): -5, 105, 0
# Local timezone: Asia/Jakarta
# Time Synchronization: 0
# Moving / Stationary position: 0
# Moving / Fixed look direction: 0
# Number of channels: 1
# Filters per channel: 1
# Measurement direction per channel: 1
# Field of view (degrees): 10
# Number of fields per line: 6
# SQM serial number: 6881
# SQM hardware identity: B001XNNV
# SQM firmware version: 4-3-80
# SQM cover offset value: 0
# SQM readout test ix (Information): i,00000004,00000003,00000080,00006881
# SQM readout test rx (Reading): r, 15.38m,0000000067Hz,0000006791c,0000000.015s, 026.1C
# SQM readout test cx (Calibration): c,00000019.96m,0000190.216s, 020.3C,00000008.71m, 020.6C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# Comment: Diambil oleh atikah
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.375
# UDM setting: Logged continuously every 5 seconds,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2026-03-03T13.11.35.371;2026-03-03T20.11.35.371;26.1;6788;67;15.38
2026-03-03T13.11.40.121;2026-03-03T20.11.40.121;26.1;6864;67;15.39
2026-03-03T13.11.45.110;2026-03-03T20.11.45.110;26.1;6956;67;15.40
2026-03-03T13.11.50.111;2026-03-03T20.11.50.111;26.1;7023;66;15.41
2026-03-03T13.11.55.120;2026-03-03T20.11.55.120;26.1;7021;65;15.41
2026-03-03T13.12.00.126;2026-03-03T20.12.00.126;26.1;6984;66;15.41
2026-03-03T13.12.05.101;2026-03-03T20.12.05.101;26.1;6973;66;15.40
2026-03-03T13.12.10.125;2026-03-03T20.12.10.125;26.1;6885;66;15.39
2026-03-03T13.12.15.096;2026-03-03T20.12.15.096;26.1;6829;67;15.38
2026-03-03T13.12.20.117;2026-03-03T20.12.20.117;25.7;6645;69;15.35
2026-03-03T13.12.25.130;2026-03-03T20.12.25.130;25.7;6454;71;15.32
2026-03-03T13.12.30.128;2026-03-03T20.12.30.128;25.7;6329;72;15.30
2026-03-03T13.12.35.106;2026-03-03T20.12.35.106;25.7;6237;73;15.28
2026-03-03T13.12.40.115;2026-03-03T20.12.40.115;25.7;6152;75;15.27
2026-03-03T13.12.45.102;2026-03-03T20.12.45.102;25.7;6109;75;15.26
2026-03-03T13.12.50.111;2026-03-03T20.12.50.111;25.7;6112;75;15.27
2026-03-03T13.12.55.130;2026-03-03T20.12.55.130;25.7;6122;75;15.27
2026-03-03T13.13.00.122;2026-03-03T20.13.00.122;25.7;6184;74;15.28
2026-03-03T13.13.05.110;2026-03-03T20.13.05.110;25.7;6267;74;15.29
2026-03-03T13.13.10.129;2026-03-03T20.13.10.129;25.7;6293;73;15.29
2026-03-03T13.13.15.110;2026-03-03T20.13.15.110;25.7;6217;74;15.28
2026-03-03T13.13.20.111;2026-03-03T20.13.20.111;25.7;6159;74;15.27
2026-03-03T13.13.25.108;2026-03-03T20.13.25.108;25.7;6268;74;15.29
2026-03-03T13.13.30.130;2026-03-03T20.13.30.130;25.7;6419;73;15.32
2026-03-03T13.13.35.098;2026-03-03T20.13.35.098;25.7;6488;70;15.33
2026-03-03T13.13.40.105;2026-03-03T20.13.40.105;25.7;6370;72;15.31
